sample.ID	genus	species	clade	location	sublocation	sex	ecomorph.phenotype	sequence.depth
CMASS6607982	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	6.09
CMASS6607991	Astatotilapia	calliptera	AstCal	Lake_Masoko	Intermediate	M	Littoral	5.36
CMASS6389725	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.89
CMASS6608065	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Littoral	8.58
CMASS6169461	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.27
CMASS6169452	Astatotilapia	calliptera	AstCal	Lake_Masoko	Intermediate	M	Littoral	5.64
CMASS6169443	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	6.1
CMASS6389722	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	6.13
CMASS6169445	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.75
CMASS6607987	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	6.75
CMASS6389729	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.84
CMASS6607996	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	7.04
CMASS6169448	Astatotilapia	calliptera	AstCal	Lake_Masoko	Intermediate	M	Littoral	5.36
CMASS6607999	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.86
CMASS6169472	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Littoral	7.07
CMASS6169467	Astatotilapia	calliptera	AstCal	Lake_Masoko	Intermediate	M	Littoral	5.25
CMASS6608027	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.64
CMASS6608036	Astatotilapia	calliptera	AstCal	Lake_Masoko	Shallow	M	Littoral	5.86
CMASS6608061	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Littoral	7.19
CMASS6608056	Astatotilapia	calliptera	AstCal	Lake_Masoko	Intermediate	M	Littoral	6.15
CMASS6389739	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.92
CMASS6389752	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.89
CMASS6389754	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.15
CMASS6608006	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.18
CMASS6608007	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.85
CMASS6389749	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.38
CMASS6389741	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.5
CMASS6608017	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.72
CMASS6608016	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.3
CMASS6389743	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.58
CMASS6608008	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.31
CMASS6608014	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.93
CMASS6608005	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.22
CMASS6608004	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.76
CMASS6389745	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.19
CMASS6608015	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.72
CMASS6608026	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.77
CMASS6169494	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	5.36
CMASS6389744	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.71
CMASS6608022	Astatotilapia	calliptera	AstCal	Lake_Masoko	Deep	M	Benthic	6.27
