CHR	POS	CMASS6608026	CMASS6607991	CMASS6389722	CMASS6169445	CMASS6169461	CMASS6169443
chr7	18059155	5	5	4	3	1	1
chr7	18059156	5	5	4	3	1	1
chr7	18059157	5	5	4	3	1	1
chr7	18059158	5	5	4	3	1	1
chr7	18059159	5	5	4	3	1	1
chr7	18059160	5	5	4	3	1	1
chr7	18059161	4	5	4	3	1	1
chr7	18059162	4	5	4	3	1	1
chr7	18059163	4	5	4	2	1	1
chr7	18059164	4	5	4	2	1	1
chr7	18059165	4	5	4	2	1	1
chr7	18059166	4	5	4	2	1	1
chr7	18059167	5	5	4	2	1	1
chr7	18059168	5	5	4	2	1	1
chr7	18059169	5	5	4	2	1	1
chr7	18059170	6	5	4	2	1	1
chr7	18059171	6	5	4	3	1	1
chr7	18059172	6	5	4	3	1	1
chr7	18059173	6	5	4	3	1	1
chr7	18059174	7	5	4	3	1	1
chr7	18059175	7	5	4	4	1	1
chr7	18059176	7	5	4	3	1	1
chr7	18059177	7	5	4	3	1	1
chr7	18059178	7	5	4	3	1	1
chr7	18059179	7	5	4	3	1	1
chr7	18059180	7	5	4	3	1	1
chr7	18059181	8	5	4	3	1	1
chr7	18059182	8	5	4	3	1	1
chr7	18059183	8	5	4	3	1	1
chr7	18059184	8	6	4	3	1	1
chr7	18059185	8	6	4	3	1	1
chr7	18059186	8	6	4	3	1	1
chr7	18059187	8	6	4	3	1	1
chr7	18059188	8	6	4	3	1	1
chr7	18059189	8	6	4	3	1	1
chr7	18059190	8	6	4	3	1	1
chr7	18059191	8	7	5	3	1	1
chr7	18059192	8	7	5	3	1	1
chr7	18059193	8	7	4	3	1	1
chr7	18059194	8	7	4	3	1	1
chr7	18059195	8	7	4	3	1	1
chr7	18059196	8	7	4	3	1	1
chr7	18059197	8	7	4	3	1	1
chr7	18059198	8	7	4	3	1	1
chr7	18059199	8	7	4	3	1	1
chr7	18059200	8	8	4	3	2	1
chr7	18059201	8	8	4	3	2	1
chr7	18059202	8	8	4	3	2	1
chr7	18059203	8	8	3	3	2	1
chr7	18059204	8	8	3	3	2	1
chr7	18059205	8	8	3	3	2	0
chr7	18059206	8	8	3	4	2	0
chr7	18059207	8	8	3	4	2	0
chr7	18059208	8	8	3	4	2	0
chr7	18059209	8	8	3	4	2	0
chr7	18059210	8	8	3	4	2	0
chr7	18059211	8	8	3	4	3	0
chr7	18059212	8	8	3	4	3	0
chr7	18059213	8	8	3	4	3	0
chr7	18059214	8	8	3	4	3	0
chr7	18059215	8	8	3	4	3	0
chr7	18059216	8	8	3	4	3	0
chr7	18059217	8	8	3	4	3	0
chr7	18059218	8	7	3	4	3	0
chr7	18059219	8	7	3	4	3	0
chr7	18059220	8	7	3	4	3	1
chr7	18059221	8	7	3	4	3	1
chr7	18059222	8	7	3	4	3	1
chr7	18059223	8	7	3	4	4	1
chr7	18059224	8	7	3	4	4	1
chr7	18059225	8	7	3	4	4	2
chr7	18059226	8	7	3	4	3	2
chr7	18059227	8	7	3	4	3	2
chr7	18059228	8	5	3	4	3	2
chr7	18059229	8	5	3	4	3	2
chr7	18059230	8	5	3	4	3	2
chr7	18059231	8	5	3	4	3	3
chr7	18059232	8	5	2	4	3	3
chr7	18059233	8	5	2	4	4	3
chr7	18059234	8	6	2	4	4	3
chr7	18059235	8	6	2	4	4	3
chr7	18059236	8	6	2	4	4	3
chr7	18059237	8	6	1	4	4	3
chr7	18059238	9	6	1	4	4	3
chr7	18059239	9	6	1	4	4	4
chr7	18059240	9	7	1	4	4	4
chr7	18059241	8	7	1	4	4	4
chr7	18059242	8	7	1	4	4	4
chr7	18059243	8	7	1	4	4	4
chr7	18059244	8	7	1	4	4	4
chr7	18059245	8	7	1	4	4	4
chr7	18059246	8	8	1	4	4	4
chr7	18059247	8	8	1	4	4	4
chr7	18059248	8	8	1	4	4	4
chr7	18059249	8	8	1	4	4	4
chr7	18059250	8	8	2	4	4	4
chr7	18059251	8	8	2	4	4	4
chr7	18059252	6	8	2	4	4	4
chr7	18059253	6	8	2	4	4	4
chr7	18059254	6	8	2	4	4	4
chr7	18059255	6	7	2	4	4	4
chr7	18059256	6	7	2	4	4	4
chr7	18059257	6	6	2	4	4	4
chr7	18059258	6	6	2	4	4	4
chr7	18059259	6	6	2	4	4	4
chr7	18059260	6	6	2	4	4	4
chr7	18059261	6	6	2	4	4	4
chr7	18059262	6	6	2	4	4	4
chr7	18059263	6	6	2	4	4	4
chr7	18059264	6	6	2	3	4	4
chr7	18059265	6	6	2	3	4	4
chr7	18059266	6	6	2	3	4	4
chr7	18059267	6	6	3	3	4	5
chr7	18059268	6	6	3	3	4	5
chr7	18059269	6	6	3	3	4	5
chr7	18059270	6	6	3	3	4	5
chr7	18059271	5	6	3	3	4	5
chr7	18059272	5	6	4	3	4	5
chr7	18059273	5	6	4	3	4	5
chr7	18059274	5	6	4	3	4	5
chr7	18059275	5	6	4	3	4	6
chr7	18059276	5	6	4	3	4	6
chr7	18059277	6	6	4	3	4	6
chr7	18059278	6	6	4	3	4	6
chr7	18059279	6	6	4	3	4	6
chr7	18059280	6	6	4	3	4	6
chr7	18059281	6	6	4	3	4	6
chr7	18059282	6	6	4	3	4	6
chr7	18059283	6	6	4	3	4	6
chr7	18059284	6	6	4	3	4	6
chr7	18059285	6	6	5	3	4	6
chr7	18059286	7	6	5	3	4	6
chr7	18059287	7	6	5	3	4	6
chr7	18059288	7	6	6	3	4	6
chr7	18059289	7	6	6	3	4	6
chr7	18059290	7	6	6	3	4	6
chr7	18059291	7	6	6	3	4	6
chr7	18059292	6	6	6	3	4	6
chr7	18059293	6	7	6	3	4	7
chr7	18059294	6	7	6	3	4	7
chr7	18059295	5	7	6	3	4	7
chr7	18059296	5	7	6	2	4	7
chr7	18059297	5	8	6	2	4	7
chr7	18059298	5	8	6	2	4	7
chr7	18059299	4	8	6	2	4	7
chr7	18059300	4	8	6	1	4	7
chr7	18059301	4	8	6	1	4	7
chr7	18059302	4	8	6	1	4	7
chr7	18059303	4	8	6	1	4	7
chr7	18059304	4	8	6	1	4	7
chr7	18059305	4	8	6	3	4	7
chr7	18059306	3	8	6	3	4	7
chr7	18059307	3	8	6	3	4	7
chr7	18059308	3	8	6	3	4	7
chr7	18059309	3	7	6	3	4	7
chr7	18059310	3	7	6	3	4	7
chr7	18059311	3	7	6	3	4	7
chr7	18059312	3	7	6	3	4	8
chr7	18059313	4	7	6	3	4	8
chr7	18059314	4	7	6	3	4	9
chr7	18059315	4	7	6	3	4	10
chr7	18059316	4	6	5	3	4	10
chr7	18059317	4	6	5	3	5	10
chr7	18059318	4	6	5	3	5	10
chr7	18059319	4	6	5	3	5	10
chr7	18059320	4	6	5	3	5	10
chr7	18059321	4	6	5	3	5	10
chr7	18059322	4	6	5	3	5	10
chr7	18059323	4	6	5	3	5	10
chr7	18059324	4	6	5	3	5	10
chr7	18059325	4	5	5	3	4	10
chr7	18059326	4	5	5	3	4	10
chr7	18059327	4	5	5	3	4	10
chr7	18059328	4	5	5	3	4	10
chr7	18059329	4	5	5	3	4	10
chr7	18059330	4	5	5	3	4	10
chr7	18059331	4	5	5	2	4	10
chr7	18059332	4	5	5	2	4	10
chr7	18059333	4	5	5	2	4	10
chr7	18059334	4	5	5	2	4	10
chr7	18059335	4	5	6	2	5	10
chr7	18059336	5	5	6	3	4	10
chr7	18059337	5	5	6	3	4	10
chr7	18059338	5	6	6	3	4	10
chr7	18059339	5	6	6	3	4	10
chr7	18059340	5	6	6	3	5	10
chr7	18059341	5	6	6	3	5	10
chr7	18059342	5	6	6	3	5	10
chr7	18059343	5	6	6	3	5	10
chr7	18059344	5	6	6	3	5	10
chr7	18059345	5	6	6	3	5	9
chr7	18059346	5	6	6	3	5	9
chr7	18059347	5	6	6	4	5	9
chr7	18059348	5	6	6	4	4	9
chr7	18059349	5	6	6	4	4	9
chr7	18059350	5	7	6	4	4	8
chr7	18059351	5	7	6	4	4	8
chr7	18059352	5	7	6	4	4	8
chr7	18059353	5	8	6	4	4	8
chr7	18059354	5	8	6	4	4	8
chr7	18059355	5	8	6	4	4	8
chr7	18059356	5	8	6	4	4	7
chr7	18059357	5	8	6	4	4	7
chr7	18059358	5	8	6	4	3	7
chr7	18059359	5	8	6	5	3	7
chr7	18059360	5	8	6	5	3	7
chr7	18059361	6	8	6	5	3	7
chr7	18059362	6	8	6	5	3	7
chr7	18059363	5	8	6	5	3	7
chr7	18059364	5	8	6	5	3	6
chr7	18059365	5	7	6	5	3	6
chr7	18059366	5	7	6	5	3	6
chr7	18059367	5	7	6	5	3	6
chr7	18059368	5	7	6	5	3	6
chr7	18059369	5	7	6	5	3	6
chr7	18059370	5	7	6	5	3	6
chr7	18059371	5	7	6	5	3	6
chr7	18059372	5	7	6	5	3	6
chr7	18059373	5	7	6	5	3	6
chr7	18059374	5	7	6	5	3	7
chr7	18059375	5	7	5	5	3	7
chr7	18059376	5	7	5	5	3	7
chr7	18059377	5	7	7	5	3	7
chr7	18059378	5	7	7	5	3	7
chr7	18059379	5	7	7	5	3	7
chr7	18059380	5	7	7	5	3	7
chr7	18059381	5	7	7	5	3	7
chr7	18059382	5	7	7	5	3	7
chr7	18059383	5	7	7	5	3	7
chr7	18059384	5	7	7	5	3	7
chr7	18059385	5	7	7	5	3	7
chr7	18059386	5	7	7	5	3	7
chr7	18059387	5	7	7	5	3	7
chr7	18059388	5	7	7	5	3	7
chr7	18059389	5	7	7	5	3	7
chr7	18059390	5	7	7	5	3	7
chr7	18059391	5	7	7	5	3	7
chr7	18059392	5	7	6	5	3	6
chr7	18059393	5	7	6	5	3	6
chr7	18059394	5	7	6	5	3	6
chr7	18059395	5	7	6	5	4	6
chr7	18059396	5	7	6	5	4	6
chr7	18059397	5	7	5	5	4	6
chr7	18059398	5	7	5	5	4	6
chr7	18059399	5	7	5	5	4	6
chr7	18059400	5	7	5	5	4	5
chr7	18059401	5	7	5	5	4	5
chr7	18059402	4	7	5	5	4	5
chr7	18059403	4	7	5	5	4	5
chr7	18059404	4	7	5	5	4	5
chr7	18059405	4	7	5	5	4	5
chr7	18059406	4	7	5	5	4	5
chr7	18059407	4	7	5	5	4	5
chr7	18059408	5	7	5	5	4	5
chr7	18059409	5	7	5	5	4	5
chr7	18059410	5	7	4	5	4	5
chr7	18059411	4	7	4	5	4	5
chr7	18059412	4	7	4	5	4	5
chr7	18059413	4	7	3	5	4	5
chr7	18059414	4	7	3	5	5	5
chr7	18059415	4	7	3	5	5	5
chr7	18059416	4	7	3	5	5	5
chr7	18059417	4	8	3	5	5	5
chr7	18059418	4	7	3	5	5	4
chr7	18059419	4	7	3	5	5	4
chr7	18059420	4	7	3	5	5	4
chr7	18059421	4	7	3	5	5	4
chr7	18059422	4	6	3	5	5	4
chr7	18059423	4	6	3	5	5	4
chr7	18059424	4	6	3	5	5	4
chr7	18059425	4	6	3	5	5	4
chr7	18059426	4	6	3	5	5	4
chr7	18059427	4	6	3	6	5	4
chr7	18059428	4	6	3	6	5	4
chr7	18059429	4	6	3	6	5	4
chr7	18059430	4	6	3	4	5	4
chr7	18059431	4	6	3	4	5	4
chr7	18059432	4	6	3	4	5	4
chr7	18059433	4	6	3	4	5	4
chr7	18059434	4	6	3	4	5	4
chr7	18059435	4	6	3	4	5	4
chr7	18059436	4	6	3	4	5	4
chr7	18059437	4	6	3	4	5	3
chr7	18059438	3	6	3	4	5	3
chr7	18059439	3	6	3	4	5	2
chr7	18059440	3	6	3	4	5	1
chr7	18059441	3	6	3	4	5	1
chr7	18059442	3	6	3	4	4	1
chr7	18059443	3	6	3	4	4	1
chr7	18059444	3	6	3	4	4	1
chr7	18059445	3	6	3	4	4	1
chr7	18059446	3	6	3	4	4	1
chr7	18059447	3	6	3	4	4	1
chr7	18059448	3	6	3	4	4	1
chr7	18059449	3	6	3	4	4	1
chr7	18059450	3	6	3	4	4	1
chr7	18059451	3	6	3	4	4	1
chr7	18059452	3	6	3	5	4	1
chr7	18059453	3	6	3	5	4	1
chr7	18059454	3	6	3	5	4	1
chr7	18059455	3	6	3	5	4	1
chr7	18059456	3	6	3	5	4	1
chr7	18059457	3	6	3	5	4	1
chr7	18059458	3	6	3	5	4	1
chr7	18059459	3	6	3	5	4	1
chr7	18059460	3	6	2	5	3	1
chr7	18059461	2	6	2	4	3	1
chr7	18059462	2	6	2	4	3	1
chr7	18059463	2	5	2	4	3	1
chr7	18059464	2	5	2	4	3	1
chr7	18059465	2	5	2	4	2	1
chr7	18059466	2	5	2	4	2	1
chr7	18059467	2	5	2	4	2	1
chr7	18059468	2	5	2	4	2	1
chr7	18059469	2	5	2	4	2	1
chr7	18059470	2	5	2	4	2	1
chr7	18059471	2	5	2	4	2	1
chr7	18059472	2	5	2	3	2	1
chr7	18059473	2	5	2	3	2	1
chr7	18059474	2	5	2	3	2	1
chr7	18059475	2	4	2	3	2	1
chr7	18059476	2	4	2	3	2	1
chr7	18059477	2	4	2	3	2	1
chr7	18059478	2	3	2	3	2	1
chr7	18059479	2	3	2	3	2	1
chr7	18059480	2	3	2	3	2	1
chr7	18059481	2	3	2	3	2	1
chr7	18059482	2	3	2	3	2	1
chr7	18059483	2	3	2	3	2	1
chr7	18059484	2	2	2	2	2	1
chr7	18059485	2	2	2	2	2	1
chr7	18059486	1	2	2	2	2	1
chr7	18059487	1	2	2	2	2	1
chr7	18059488	1	2	2	2	2	1
chr7	18059489	1	2	2	2	2	1
chr7	18059490	1	2	2	2	2	1
chr7	18059491	1	2	2	2	2	1
chr7	18059492	1	2	2	2	2	1
chr7	18059493	1	2	2	2	2	1
chr7	18059494	1	2	2	2	2	1
chr7	18059495	1	2	2	2	2	1
chr7	18059496	1	1	2	2	2	1
